OrdenCorrida;Modelo;Experto;iso37;iso36;iso35;iso34;iso33;iso32;iso31;iso41;iso42;iso43;iso44;iso45;iso46;iso47;ancho intercanino (3-3);anchura interpremolar (4-4);anchura interpremolar (5-5);ancho intermolar;voto_mayoritario;experto
200;60;Experto 2;9,89;10,65;6,5;6,23;7,1;5,23;4,49;5,12;5,12;7,03;7,12;6,33;10,69;10,22;26,48;31,06;36,47;37,83;2;Ovalado
201;1;Experto 3;9,13;8,76;6,72;5,67;6,19;4,71;4,93;4,82;4,96;6,14;5,94;5,94;8,77;9,17;26,59;31,58;38,54;38,01;1;Ovalado
202;4;Experto 3;9,41;10,4;6,53;6,11;6,63;5,84;4,97;5,27;5,88;6,62;6,55;6,61;10,2;10,41;30,89;29,85;31,8;37,12;2;Ovalado
203;5;Experto 3;9,41;10,13;6,28;6,87;5,64;5,49;4,91;5,3;6,17;4,93;5,86;5,98;10,42;9,49;28,81;29,39;35,97;35,83;2;Ovalado
204;6;Experto 3;10,19;10,57;6,81;6,34;6,64;5,53;5,37;5,48;6,32;6,29;6,82;6,82;10,35;10,1;28,97;30,82;37,12;38,85;2;Triangular
205;7;Experto 3;9,47;10,06;6,08;5,93;4,8;5,41;4,88;4,83;4,82;5,15;5,93;6,35;10,42;9,91;27,75;28,63;31,74;34,48;2;Ovalado
206;8;Experto 3;9,87;10,36;6,32;6,72;6,06;6,33;5,43;5,46;6,17;6,27;6,86;6,4;10,38;9,07;28,98;28,12;31,59;33,63;2;Triangular
207;9;Experto 3;11,11;9,22;7,06;6,95;5,73;5,62;5,22;5,59;5,65;5,02;7,03;6,51;9,61;8,92;27,28;24,34;30,8;32,19;2;Ovalado
208;10;Experto 3;9,91;10,12;6,72;6,39;5,96;4,95;4,62;4,73;5,1;5,54;6,54;6,72;10,4;9,98;27,94;31,25;36,3;39,98;2;Ovalado
209;12;Experto 3;10,06;9,47;7,3;7;6,49;6,02;5,44;5,1;6,17;6,1;7,36;6,68;9,31;9,37;29,42;29,02;33,01;34,88;1;Ovalado
210;13;Experto 3;10,73;11,01;6,8;7,31;6,39;5,63;5,18;4,8;5,65;6,28;7,4;7,02;10,96;10,07;29;28,15;33,7;33,86;2;Ovalado
211;14;Experto 3;10,05;11,01;7,07;7,76;5,87;5,43;5,46;5,46;5,92;5,71;7,4;7,02;10,44;8,75;27,46;31,83;32,48;35,78;2;Ovalado
212;15;Experto 3;10,95;11,66;8,1;7,77;5,67;5,3;5,25;4,9;4,84;5,55;7,46;8,54;11,09;10,81;29,08;25,19;25,33;30,47;2;Ovalado
213;16;Experto 3;10,99;11,33;7,28;6,9;6,11;5,47;5,19;5,12;5,57;6,59;6,53;7,44;11,1;11,32;25,67;26,85;30,9;33,65;2;Ovalado
214;17;Experto 3;9,57;11,15;5,13;5,63;5,52;4,99;4,68;4,97;4,32;5,29;5,64;6,02;11,01;9,82;26,3;26,19;29,28;34,25;2;Ovalado
215;18;Experto 3;12,35;12,5;7,67;7,77;5,43;5,68;5,84;5,48;5,65;5,31;7,23;7,41;12,06;12,57;34,23;35,27;39,28;40,85;2;Ovalado
216;19;Experto 3;10,33;10,85;7,19;7,05;6,21;6,04;4,8;4,76;5,62;6,31;7,36;6,8;10,6;10,03;27,37;25,64;30,53;31,97;2;Ovalado
217;20;Experto 3;9,97;11,26;6,34;6,78;5,94;5,63;5,22;5,05;5,68;5,68;6,48;6,2;11,17;9,23;32,61;30,79;34,76;36,67;2;Ovalado
218;21;Experto 3;10,9;12,04;7,53;6,46;7,79;5,5;5,04;5,03;5,7;5,56;6,59;7,54;12,05;11,11;27,17;27,81;28,63;33,03;2;Ovalado
219;23;Experto 3;10,31;9,37;6,11;6,14;5,63;4,83;4,7;4,4;4,99;5,33;5,59;5,8;9,18;9,39;29,28;29,22;33,7;38,81;2;Ovalado
220;25;Experto 3;11,74;11,5;6,77;7,04;6,2;5,89;5,25;5,33;6,48;6,04;7,35;6,64;11,6;10,28;33,1;31,47;36,38;37,25;2;Ovalado
221;26;Experto 3;10,96;10,19;7,18;6,58;6,72;6,03;5,28;4,81;6,41;6,76;7,48;7,66;11,39;10,77;28,19;28,12;31,86;32,85;2;Ovalado
222;27;Experto 3;10,87;10,6;7,4;6,32;5,8;6,02;5,69;5,56;6,57;5,28;5,91;6,72;10,49;9,65;24,58;24,84;29,07;33,47;2;Ovalado
223;28;Experto 3;11,91;11,76;7,45;7,72;5,7;5,89;5,29;5,61;5,82;5,87;7,57;7,45;11,56;11,38;24,18;25,35;31,93;37,34;3;Triangular
224;29;Experto 3;11,67;10,73;8,37;6,9;6,04;5,25;5,5;5,16;5,55;4,83;7,19;7,24;10,74;11,11;31,4;29,26;32,69;36,05;2;Ovalado
225;30;Experto 3;11,56;10,82;7,46;7,01;5,8;5,96;4,8;5;5,8;5,74;7,48;7,51;10,5;11,76;30,27;26,16;30,17;34,2;2;Ovalado
226;31;Experto 3;11;10,16;6,62;6,21;5,45;5,06;5,12;4,88;4,98;5,1;6,85;7,37;10,32;10,41;31,69;30,91;36,71;39,02;2;Ovalado
227;32;Experto 3;9,59;10,14;7,38;6,69;6,05;5,1;4,99;4,8;5,29;5,55;6,7;6,88;9,95;9,91;29,45;26,66;29,5;34,79;1;Ovalado
228;33;Experto 3;10,7;10,72;6,91;5,65;5,87;5,34;4,72;4,78;5,09;5,37;6,34;6,81;10,52;10,25;25,83;26,57;29,32;33,07;1;Cuadrado
229;34;Experto 3;10,57;10,44;7,06;7;5,97;6,19;5,94;5,96;5,82;5,54;7,08;7,22;10,34;10,69;23,93;27,4;31,74;32,94;1;Cuadrado
230;36;Experto 3;10,04;10,62;6,66;6,47;5,38;5,11;5,14;5,16;5,06;5,32;6,81;6,81;10,34;10,15;29,4;31,35;35,53;38,12;2;Ovalado
231;38;Experto 3;11,48;10,8;7,78;6,88;7,1;5,63;5,49;5,09;5,73;6,47;7,2;7,54;10,95;11,04;28,57;27,5;29,79;34,46;2;Ovalado
232;39;Experto 3;10,08;10,73;6,27;5,91;5,49;5,43;5,13;5;6,34;5,46;6,52;6,79;10,58;9,7;26,56;27,54;29,43;34,51;2;Ovalado
233;41;Experto 3;10,63;10,26;7,4;6,55;6,54;5,55;4,98;4,82;5,52;6,11;6,39;7,73;10,17;10,3;28,76;31,43;36,84;42,82;2;Ovalado
234;42;Experto 3;10,77;11,29;6,86;6,62;6,61;5,98;5,37;5,29;5,53;6,31;7,47;7;11,27;10,27;32,09;34,21;37,28;36,29;2;Cuadrado
235;43;Experto 3;9;9,68;6,57;5,56;5,25;5,29;4,79;4,81;5,07;5,13;5,49;6,06;9,91;9,46;25,07;25,88;27,72;30,12;1;Cuadrado
236;44;Experto 3;10,51;10,42;6,99;6,33;5,47;5,5;4,94;5,04;5,3;5,54;6,49;6,82;10,54;10,08;31,07;30,67;34,62;38,04;2;Ovalado
237;45;Experto 3;11,28;10,26;7,81;7,23;6,11;5;4,56;4,61;5,21;6,22;7,4;7,08;10,4;10,99;28,8;27,03;32,04;35,07;1;Cuadrado
238;46;Experto 3;9,92;9,74;6,69;6,38;5,88;5,22;4,37;4,69;5;5,13;5,21;6,58;9,4;9,16;24,36;24,7;28,36;32,46;1;Cuadrado
239;47;Experto 3;9,76;11,03;7,38;7,46;6,17;5,23;5,2;5,02;5,41;6,43;7,52;7,1;10,91;8,55;25,98;25,69;29,06;34,65;1;Cuadrado
240;48;Experto 3;8,75;10;6,6;5,81;5,94;5,2;4,52;4,46;5,04;4,95;5,59;6,2;9,8;8,37;26,8;24,44;27,53;33,75;2;Ovalado
241;49;Experto 3;11,04;10,52;7,25;7,33;5,87;5,28;4,84;4,87;5,16;5,69;6,9;7,06;10,36;10,84;30,12;29,67;33,15;36,63;2;Ovalado
242;50;Experto 3;9,66;10,43;6,85;6,95;6,45;5,13;5,66;5,47;5,51;6,46;6,66;7,25;10,93;9,9;26,77;25,04;25,58;31,29;2;Ovalado
243;51;Experto 3;9,18;10,45;6,96;6,23;6,07;5,85;4,89;4,94;5,49;6,15;6,5;6,72;10,35;10,29;30,79;30,2;35,11;39,29;2;Ovalado
244;52;Experto 3;10,14;11,09;7,8;7,64;6,47;6,13;5,1;5,31;5,89;6,94;7,83;7,33;11,33;10,31;28,57;22,67;25,77;30,09;3;Ovalado
245;53;Experto 3;10,11;10,39;7,44;7,02;6,18;5,7;5,11;5,13;5,99;6,1;7,01;6,84;10,69;10,14;26,9;26,27;31,97;36,41;2;Ovalado
246;54;Experto 3;9,25;9,95;6,76;5,81;5,97;5,09;4,35;4,49;5,08;5,71;6,48;6,37;9,7;9,08;26,33;28,24;31,03;33,14;2;Ovalado
247;55;Experto 3;10,06;11,22;7;6,39;6,65;5,42;4,5;4,99;5,45;5,76;6,57;6,98;11,2;10,4;25,19;24,93;27,59;29,51;3;Ovalado
248;57;Experto 3;9,46;10,72;6,51;6,38;6,3;5,59;4,82;4,96;5,68;5,79;6,15;6,52;10,67;9,75;27,72;25,17;28,14;30,5;2;Ovalado
249;59;Experto 3;10,93;11,86;7,33;8,02;6,12;5,7;5,58;5,34;5,6;6,24;7,91;7,63;11,85;8,97;30,3;30,64;36,6;37,68;2;Ovalado
250;60;Experto 3;10,95;11,73;7,58;6,44;6,88;5,4;4,98;4,7;5,27;6,31;6,98;7,56;11,5;10,34;28,38;30,49;34,91;36,4;2;Ovalado
251;1;Experto 3;9,5;8,81;6,83;5,78;6,12;8,86;4,88;4,92;4,96;6,26;5,91;5,85;8,92;9,33;27,52;30,67;36,3;37,96;1;Ovalado
252;4;Experto 3;9,56;10,45;6,58;6,18;6,6;5,88;4,97;5,28;5,78;6,55;6,43;6,5;10,3;10,28;30,71;29,59;31,35;37,09;2;Ovalado
253;5;Experto 3;9,39;10,49;6,31;6,48;5,59;5,44;4,86;5,13;5,96;4,98;5,76;5,95;10,54;9,68;28,86;29,03;35,56;35,78;2;Ovalado
254;6;Experto 3;10,48;10,51;6,88;6,57;6,81;5,41;5,27;5,43;6,12;6,38;6,98;6,87;10,49;10,96;28,14;30,49;37,46;38,14;2;Triangular
255;7;Experto 3;9,71;10,16;6,23;5,89;4,9;5,37;4,85;4,82;4,77;5,2;5,94;6,36;10,33;9,95;27,76;28,7;31,35;34,11;2;Ovalado
256;8;Experto 3;9,74;10,6;6,48;6,8;6,2;6,31;5,33;5,52;6,4;6,19;6,87;6,47;10,45;9,09;28,67;28,47;31,61;33,73;2;Triangular
257;9;Experto 3;10,2;9,36;7,11;6,96;5,8;5,61;5,23;5,49;5,64;5,17;5,06;6,52;9,75;8,89;27,61;24,41;30,45;32,25;2;Ovalado
258;10;Experto 3;9,92;10,25;6,73;6,44;5,97;4,86;4,65;4,73;5,1;5,61;6,44;6,74;10,42;9,72;27,8;31,33;36,09;39,58;2;Ovalado
259;12;Experto 3;10,2;9,61;7,35;6,9;6,34;5,96;5,24;5,31;5,95;6,21;7,09;6,85;9,69;9,47;29,08;29,25;33,4;35,4;1;Ovalado
260;13;Experto 3;10,74;11,2;6,68;7,43;6,28;5,87;5,22;4,95;5,59;6,02;7,37;7,13;10,84;10,22;29,01;28,25;33,91;33,73;2;Ovalado
261;14;Experto 3;10,04;11,31;7,1;7,78;5,8;5,55;5,47;5,43;5,83;5,84;7,32;7,08;10,47;8,62;27,17;31,37;32,77;35,6;2;Ovalado
262;15;Experto 3;10,67;11,74;8,05;7,59;5,68;5,33;5,29;4,84;4,87;5,44;7,47;8,45;11,42;10,59;29,45;25,01;25,29;30,47;2;Ovalado
263;16;Experto 3;10,66;11,41;7,55;6,84;6,13;5,33;5,21;5,19;5,53;6,56;6,75;7,34;11,09;11,28;25,41;26,5;30,18;33,49;2;Ovalado
264;17;Experto 3;9,83;11,19;5,25;5,6;5,63;5,1;4,73;4,99;4,33;5,35;5,28;6,33;11;9,27;26,12;26,07;29,9;34,03;2;Ovalado
265;18;Experto 3;12,42;12,57;7,92;7,35;5,39;5,57;5,72;5,53;5,51;5,24;7,11;7,53;12,44;12,37;34,39;35,82;39,6;40,73;2;Ovalado
266;19;Experto 3;10,27;10,99;7,17;7,01;6,46;6,06;4,79;4,85;5,58;6,24;7,27;6,67;10,92;10,04;27,47;25,29;30,36;31,49;2;Ovalado
267;20;Experto 3;9,47;11,17;6,5;6,81;5,91;5,53;5,34;5,09;5,74;5,59;6,61;6,25;11,2;9,27;32,36;30,27;34,99;36,7;2;Ovalado
268;21;Experto 3;10,8;12,11;7,34;6,49;7,67;5,5;5,15;5,18;5,66;5,75;6,63;7,49;12,15;11,25;27,12;27,82;28,69;33,09;2;Ovalado
269;23;Experto 3;10,29;9,31;6,16;6,22;5,64;4,91;4,64;4,5;4,91;5,51;5,83;5,78;9,27;9,28;29,05;29,46;33,72;38,79;2;Ovalado
270;25;Experto 3;11,67;11,61;6,71;7,17;6,41;5,76;5,18;5,29;6,4;6,14;7,28;6,62;11,57;10,15;33,08;31,18;36,16;37,65;2;Ovalado
271;26;Experto 3;10,88;10,08;7,19;6,55;6,7;6,04;5,19;4,79;6,39;6,78;7,43;7,57;11,39;10,69;28,34;28,08;31,68;32,3;2;Ovalado
272;27;Experto 3;10,16;10,47;7,39;6,58;5,85;6,19;5,78;5,65;6,57;5,37;6,03;6,84;10,51;9,75;24,42;24,75;29,67;33,35;2;Ovalado
273;28;Experto 3;11,89;11,42;7,51;7,75;5,75;5,93;5,38;5,59;5,74;6,01;7,61;7,29;11,22;11,45;24,16;25,55;31,44;37,05;3;Triangular
274;29;Experto 3;11,55;10,44;8,17;6,66;6,09;5,38;5,53;5,23;5,61;4,81;7,15;7,36;10,73;11,4;31,79;29,19;32,66;36,09;2;Ovalado
275;30;Experto 3;11,39;10,7;7,36;7,03;5,86;5,96;4,75;5,05;5,8;5,79;7,31;7,57;10,5;11,61;30,12;26,06;30,14;34,16;2;Ovalado
276;31;Experto 3;11,62;10,16;6,6;6,3;5,58;5,1;5,11;4,72;4,72;5,1;6,79;7,26;10,43;10,54;31,75;30,8;36,96;39,34;2;Ovalado
277;32;Experto 3;9,68;10,2;7,48;6,77;6,08;5,14;5,09;4,89;5,14;5,49;6,72;6,98;9,92;9,88;29,41;26,9;29,56;34,2;1;Ovalado
278;33;Experto 3;10,53;10,8;6,73;5,75;5,88;5,34;4,67;4,74;5,11;5,37;6,29;6,79;10,51;10,26;25,38;26,68;29,34;33,33;1;Cuadrado
279;34;Experto 3;10,49;10,16;7,03;7,1;5,89;6,09;5,98;5,95;5,79;5,49;7,05;7,15;10,33;10,69;23,21;27,36;31,75;35,57;1;Cuadrado
280;36;Experto 3;10,43;10,64;6,6;6,33;5,58;5,14;5,19;5,17;5,05;5,37;5,75;6,8;10,41;10,12;29,08;31,23;35,82;38,29;2;Ovalado
281;38;Experto 3;11,3;10,81;7,57;6,9;7,17;5,56;5,39;5,04;5,75;6,4;7,18;7,35;10,96;11,13;28,66;27,72;29,77;34,76;2;Ovalado
282;39;Experto 3;10,16;10,84;6,2;5,9;5,5;5,55;5,32;4,86;6,42;5,55;6,5;6,79;10,47;9,54;26,51;27,45;29,58;34,62;2;Ovalado
283;41;Experto 3;10,6;10,24;7,37;6,55;6,54;5,55;4,97;4,74;5,52;6,12;6,38;7,69;10,17;10,32;28,67;31,43;36,69;42,81;2;Ovalado
284;42;Experto 3;10,77;11,32;6,78;6,61;6,62;6,05;5,45;5,27;5,52;6,32;7,52;6,97;11,28;10,29;32,15;34,25;37,29;36,68;2;Cuadrado
285;43;Experto 3;8,92;9,73;6,52;6,56;5,24;5,28;4,8;4,84;5,07;5,13;5,49;6,11;9,82;9,5;25,07;25,78;27,78;30,15;1;Cuadrado
286;44;Experto 3;10,49;10,4;6,99;6,26;5,47;5,51;4,92;5,04;5,32;5,44;6,35;6,8;10,54;10,1;31,07;30,73;34,73;38,04;2;Ovalado
287;45;Experto 3;11,26;10,27;7,79;7,35;6,1;5,01;4,61;4,66;5,17;6,21;7,47;7,1;10,42;10,95;28,45;27,31;32,02;35,09;1;Cuadrado
288;46;Experto 3;9,92;9,75;6,68;6,36;5,9;5,25;4,35;4,68;4,98;5,13;5,24;6,56;9,41;9,17;24,43;24,74;28,35;32,48;1;Cuadrado
289;47;Experto 3;9,76;11,03;7,35;7,47;6,16;5,25;5,22;5,09;5,51;6,42;7,51;7,12;10,89;8,55;25,86;25,42;29,06;34,59;1;Cuadrado
290;48;Experto 3;8,69;9,8;6,66;5,81;5,95;5,19;4,55;4,46;5,07;4,93;5,5;6,13;9,7;8,27;26,64;24,38;27,62;33,53;2;Ovalado
291;49;Experto 3;11,11;10,38;7,27;7,32;5,93;5,24;4,87;4,89;5,19;5,66;6,83;7,17;10,38;10,9;30,22;29,45;33,19;36,59;2;Ovalado
292;50;Experto 3;9,51;10,52;6,85;6,93;6,46;5,14;5,59;5,48;5,51;6,47;6,67;7,26;10,85;9,89;26,76;25,14;25,78;31,43;2;Ovalado
293;51;Experto 3;9,19;10,38;6,94;6,13;6,12;5,82;4,9;4,95;5,48;6,17;6,49;6,71;10,22;10,3;30,83;30,09;35,2;39,23;2;Ovalado
294;52;Experto 3;10,15;11,08;7,76;7,63;6,48;6,22;5,1;5,2;5,88;6,91;7,85;7,27;11,43;10,32;28,28;22,88;25,88;30,11;3;Ovalado
295;53;Experto 3;10,11;10,4;7,47;7,04;6,16;6,71;5,13;5,13;5,93;6,11;6,9;6,86;10,7;10,23;26,66;26,27;31,95;36,65;2;Ovalado
296;54;Experto 3;9,28;9,88;6,76;5,86;5,88;5,08;4,5;4,55;5,09;5,62;6,39;6,4;9,71;6,06;26,45;28,42;31,11;34,24;2;Ovalado
297;55;Experto 3;10,04;11,19;6,85;6,4;6,64;5,42;4,48;4,98;5,48;5,77;6,57;6,97;11,23;10,41;25,25;24,85;27,49;29,83;3;Ovalado
298;57;Experto 3;9,51;10,66;6,61;6,35;6,26;5,6;4,77;4,95;5,77;5,7;6,18;6,62;10,67;9,82;27,76;25,14;28,19;30,64;2;Ovalado
299;59;Experto 3;10,82;11,86;7,33;8,04;6,18;5,72;5,61;5,43;5,61;6,24;7,89;7,6;11,9;8,96;30,48;30,75;36,64;37,57;2;Ovalado
300;60;Experto 3;10,91;11,77;7,56;6,47;6,91;5,4;5,02;4,68;5,28;6,33;6,94;7,56;11,49;10,35;28,4;30,5;34,84;36,4;2;Ovalado
